id,name,description,meal_category,meal_parent_category
561715,Pizza Capricciosa,"mit Schinken, Paprika, frischen Champignons, Zwiebeln und Oliven",Pizza Capricciosa,Pizza
639338,Gnocchi Gorgonzola,mit Gorgonzola,Gnocchi Gorgonzola,Pasta
108781,Pizza Vier Jahreszeiten vegetarisch,"mit Champignons, Zwiebeln, Paprika und Peperoni",Pizza Vier Jahreszeiten,Pizza
429411,Pizza Vier Jahreszeiten,"mit Artischocken, Paprika, Spargel, Pilzen, Käse und Tomatensauce",Pizza Vier Jahreszeiten,Pizza
170425,Pizza Frutti di Mare,"mit Paprika, Thunfisch, Meerefrüchte, Tomatensauce und Käse",Pizza Frutti di Mare,Pizza
116965,Pizza Quattro Formaggi,"mit Gorgonzola, Mozzarella, Gouda und Parmesan",Pizza Quattro Formaggi,Pizza
354747,Pizza Vegetaria,"mit Broccoli, Mais, Champignons, Zwiebeln und Artischocken",Pizza Vegetaria,Pizza
718623,Pizza Quattro Stagioni,"mit Formfleischvorderschinken, Champignons, Spinat und Artischocken",Pizza Quattro Stagioni,Pizza
30856,Montagsangebot: Pizza Sophia Loren,mit Salami und frischen Champignons,Pizza Sophia Loren,Pizza
391393,Pizza Cipolla,mit Zwiebeln,Pizza Cipolla,Pizza
310366,Pizza Alaska,"mit Lachs, Spinat und Zwiebeln",Pizza Alaska,Pizza
575249,Pizza Spinaci,"mit Tomaten, Mozzarella und frischem Spinat",Pizza Spinaci,Pizza
467437,Pizza Mozzarella,"mit frischen Tomaten, Peperoni, Oliven und Mozzarella",Pizza Mozzarella,Pizza
81884,Pasta Roma,"mit Schinken, Champignons, Tomaten, Sahne und Ei",Pasta Roma,Pasta
32133,Tagliatelle Del Chef,"mit Putenfilet, frischen Champignons und Knoblauch in Sahnesauce",Tagliatelle alle Chef,Pasta
82031,Pizza Mozzarella,"mit Mozzarella, Tomaten und Peperoni",Pizza Mozzarella,Pizza
13668,Pizza Spinat und Ei,,Pizza Spinaci,Pizza
629352,Spaghetti al Forno,"mit Bolognese, Schinken, Sahne und Käse überbacken",Spaghetti al Forno,Pasta
410323,Pizza California,"mit Serrano-Schinken, Rucola, Kirschtomaten, Parmesan und echtem Gouda",Pizza California,Pizza
520874,Pizza Broccoli,,Pizza Broccoli,Pizza
337741,Pizza Vegetarisch,"mit Broccoli, Spinat, Artischocken, frischen Pilzen, frischen Tomaten und Schafskäse",Pizza Vegetaria,Pizza
540726,Pizza Capricciosa,"mit Salami, Vorderschinken, Peperoni, Champignons und Artischocken",Pizza Capricciosa,Pizza
127633,Spaghetti al Forno,in Fleischsauce mit Käse überbacken,Spaghetti al Forno,Pasta
745066,Maccheroni Napoli,mit leckerer Tomatensauce,Maccheroni Napoli,Pasta
385260,Kawatini,4 Sorten Nudeln mit Bolognesesauce,Kawatini,Pasta
649750,Pizza Mozzarella,mit Tomaten und Mozzarella,Pizza Mozzarella,Pizza
695420,PIzza Calzone,"mit Salami, Paprika, Schinken, Champignons und extra Käse",Pizza Calzone,Pizza
173765,"Pizza mit Tomaten, Käse und Schinken",,Pizza Schinken Tomate,Pizza
555448,Pizza Broccoli,mit Broccoli,Pizza Broccoli,Pizza
124083,Pizza Schinken,mit Schinken,Pizza Prosciutto,Pizza
408945,Pasta Napoli,mit hausgemachter Tomatensauce,Spaghetti Napoli,Pasta
154708,Pizza Gamberetti,mit Krabben und Knoblauch,Pizza Gamberetti,Pizza
176187,Tagliatelle Broccoli,"mit Broccoli, Tomaten und Sahnesauce",Tagliatelle Broccoli,Pasta
112208,Party Pizza Hawaii,mit Hinterschinken und Ananaswürfel,Pizza Hawaii,Pizza
151062,Spaghetti Bolognese,mit Fleischsauce (nach Hausrezept vom Rind),Spaghetti Bolognese,Pasta
33183,Pizza Spinaci,"mit Spinat, Formfleischvorderschinken und Knoblauch",Pizza Spinaci,Pizza
392211,Pizza Tonno Zwiebel,mit Thunfisch und Zwiebeln,Pizza Tonno,Pizza
522400,Pizza Casa,"mit Allem, außer Fisch",Pizza Casa,Pizza
508187,Pizza Prosciutto,mit Schinken,Pizza Prosciutto,Pizza
513161,Pizza Melanzane,"mit Sucuk (Rinderknoblauchwurst), Auberginen und Broccoli",Pizza Melanzane,Pizza
76458,Pizza Gorgonzola,mit Gorgonzolakäse,Pizza Gorgonzola,Pizza
730025,Pizza Napoli,"mit Oliven, Sardellen und Knoblauch",Pizza Napoli,Pizza
483852,Tortellini alla Tomaten,mit Tomatensauce,Tortellini Pomodoro,Pasta
700103,Pizza Funghi,"mit Tomatensauce,  italienischem Mozzarella und Champignons",Pizza Funghi,Pizza
173739,Pizza Diavolo,"mit Vorderschinken, Salami, Pilzen und scharfen Peperoni",Pizza Diavolo,Pizza
479010,Maccheroni Carbonara,"mit Schinken, Sahne und Ei",Maccheroni Carbonara,Pasta
635738,Pizza Quattro Formaggi,"mit je ¼ Pizza Weißkäse, Mozzarella, Gouda und Gorgonzola",Pizza Quattro Formaggi,Pizza
539000,Pizza Cipolla,mit Zwiebeln,Pizza Cipolla,Pizza
473672,Maccheroni Italia,"mit Champignons, Zwiebeln, Spinat, Krabben und Tomatensauce",Maccheroni Italia,Pasta
468017,Pizza Quattro Stagioni,"mit Tomatensauce, Käse, Champignons, Salami, Zwiebeln, Paprika und Spargel",Pizza Quattro Stagioni,Pizza
328096,Rigatoni Gorgonzola,Maccheroni mit Gorgonzolasauce,Rigatoni Gorgonzola,Pasta
535398,Pizza Quattro Stagioni,"mit Paprika, Thunfisch, Pilzen und Artischocken",Pizza Quattro Stagioni,Pizza
154544,Pizza Pane mit Remoulade,Pizzabrot,Pizza Pane,Pizza
4062,Spaghetti Bolognese,,Spaghetti Bolognese,Pasta
65950,"Spaghetti Aglio, Olio e Peperonicini","mit Öl und Knoblauch, pikant",Spaghetti Aglio e Olio,Pasta
86705,Spaghetti Bolognese,mit Tomaten und Rinderhack,Spaghetti Bolognese,Pasta
24246,Spaghetti Aglio,mit Olio e Peperoncino,Spaghetti Aglio e Olio,Pasta
727571,Pizza Margherita,mit feiner Tomatensoße und Edamer? ? ?,Pizza Margherita,Pizza
602947,Pizza Milano,"mit Vorderschinken, Champignons, Peperoni, Artischocken und Zwiebeln",Pizza Milano,Pizza
48341,Tagliatelle Bolognese,Bandnudeln mit Bolognesesauce,Tagliatelle Bolognese,Pasta
710682,Pizza Mexikaner,"mit Bohnen, Mais, Zwiebeln, Jalapenos und Dönerfleisch",Pizza Mexikaner,Pizza
140081,Partypizza mit Thunfisch und Paprika,,Pizza Tonno,Pizza
1850,Pizza Gorgonzola,mit Gorgonzola und Spinat,Pizza Gorgonzola,Pizza
531883,Pizza Margherita,doppelt Käse,Pizza Margherita,Pizza
77521,Wunschpizza,"Grundpizza mit Tomatensauce und Käse, weitere Zutaten gegen Aufpreis",Wunschpizza,Pizza
55312,Tagliatelle della Casa,"mit Schinken, Erbsen, Pilzen, Sahne und Käse überbacken",Tagliatelle Della Casa,Pasta
640010,Pizza Capricciosa,"mit Tomaten, Käse, Schinken, Artischocken und Zwiebeln",Pizza Capricciosa,Pizza
337302,Pizza Sucuk,,Pizza Sucuk,Pizza
204246,Kawatini,mit verschiedenen Nudelsorten,Kawatini,Pasta
375398,Pizza Capricciosa,"mit Champignons, Spinat und Speck",Pizza Capricciosa,Pizza
164325,Pizza Mozzarella,"mit Formfleischschinken, Spinat, Mozzarella und Tomaten",Pizza Mozzarella,Pizza
657109,Pasta Bolognese,mit Hackfleischsauce,Pasta Bolognese,Pasta
90875,Pizza Hawaii,mit Schinken und Ananas,Pizza Hawaii,Pizza
148152,Calzone,"mit Tomatensauce, Salami, Käse, Schinken, Champignons und Thunfisch",Pizza Calzone,Pizza
590850,Pizza Frutti di Mare,mit Meeresfrüchten,Pizza Frutti di Mare,Pizza
74607,Pizza Pollo e Broccoli,"Hähnchen, Knoblauch und Broccoli",Pizza Chicken,Pizza
512525,Pizza Quattro Staggione,"mit Schinken, Salami, Champignons und Artischocken",Pizza Quattro Stagioni,Pizza
141407,Pizzabrötchen gefüllt mit Schinken,,Pizzabrötchen,Pizza
259278,Tortellini Napoli,mit Tomatensauce,Tortellini Napoli,Pasta
414845,Pizza Quattro Formaggi,"mit Gouda, Mozzarella, Parmesan gehobelt und Gorgonzola",Pizza Quattro Formaggi,Pizza
723700,Pizza Salami,,Pizza Salami,Pizza
230820,Pizza Champignons,,Pizza Funghi,Pizza
93426,Pizza Quattro Stagioni,"mit Salami, Schinken, frischen Champignons und frischer Paprika",Pizza Quattro Stagioni,Pizza
380777,Pasta,,Pasta,Pasta
230744,Pizza Artischocken,"mit Artischocken, Salami, Champignons und Hackfleisch",Pizza Artischocken,Pizza
599850,Pizza Kentucky,"mit herzhaften Baconwürfeln, Zwiebeln, Barbecuesauce, darüber ein Ei. Mit Gouda überbacken",Pizza Kentucky,Pizza
229612,Pizza Spaghetti,mit Sauce Hollandaise und Spiegelei,Pizza Spaghetti,Pizza
710183,Pizza Scampi,"mit Großgarnelen, Shrimps und Knoblauch",Pizza Scampi,Pizza
233151,Pizza Sauce Hollandaise,mit Schinken und Brokkoli,Pizza Hollandaise,Pizza
71844,Pizza Bolognese,mit Rinderhackfleisch und Käse,Pizza Bolognese,Pizza
327791,Pizza Gorgonzola,mit Schinken und Gorgonzola,Pizza Gorgonzola,Pizza
28764,Penne Bolognese,mit Hackfleisch und Parmesan,Penne Bolognese,Pasta
411517,Penne Prosciutto e funghi,"mit Schinken, Sahnesauce und Käse überbacken",Penne Funghi,Pasta
316690,8 Pizzabrötchen gefüllt mit Schinken,und Gouda-Käse,Pizzabrötchen mit Schinken,Pizza
504184,Pizza Vegetaria,"mit Champignons, Paprika, Broccoli und frischen Tomaten",Pizza Vegetaria,Pizza
589635,Pizza Milano,mit Salami und Thunfisch,Pizza Milano,Pizza
490025,Tortellini,gefüllte Teigtaschen mit Vorderschinken in Sahnesauce,Tortellini,Pasta
62282,Pizza Broccoli,"mit Tomaten, Käse, Broccoli, Knoblauch und Olivenöl",Pizza Broccoli,Pizza
19231,Pizza Lachs,"mit Lachs, Champignons und Knoblauch",Pizza Salmone,Pizza
702803,Pizza Spezial,"mit Schinken, Champignons, Salami, Paprika, Artischocken und Oliven",Pizza Spezial,Pizza
385439,Pizza Quattro Formaggi,mit vier Käsesorten,Pizza Quattro Formaggi,Pizza
140016,"Party Pizza, 40x60 cm","mit Tomaten, Oregano und Käse",Partypizza,Pizza
83054,Pizza Bomba Atomica,"mit Thunfisch, Zwiebeln, Spinat, Vorderschinken, Champignons und Knoblauch, scharf",Pizza Bomba,Pizza
341649,Pizza Spaghetti,"mit Tomatensauce, Käse, Schinken, Pilze und Spaghetti",Pizza Spaghetti,Pizza
21936,Pizza Parma,"mit Parma-Schinken, Rucola und Parmesankäse",Pizza Parma,Pizza
672884,Pizza Vegetaria,"mit Zwiebeln, Mais, Paprika, Pilzen und Broccoli",Pizza Vegetaria,Pizza
720943,Tagliatelle Carbonara,"mit Sahne, Ei und Schinken",Tagliatelle Carbonara,Pasta
222260,Pizza Rucola,"mit Schinken, Mozzarella, Parmesankäse und Rucola",Pizza Rucola,Pizza
292737,Tagliatelle Napoli,Bandnudeln mit Tomatensauce und Knoblauch,Tagliatelle Napoli,Pasta
340283,Pasta Salmone,"mit Lachs, Pilzen und Sahnesauce",Pasta Salmone,Pasta
556901,Pizza Siciliana,"mit Sardellen, Paprika und Knoblauch",Pizza Siciliana,Pizza
67755,Tris di Pasta,drei verschiedene Nudelsorten in Tomatensahnesauce,Tris di Pasta,Pasta
389432,Pizza Cipolla,mit Zwiebeln,Pizza Cipolla,Pizza
581785,Pizza Spezial,"mit Tomaten, Käse, Salami, Paprikawurst, Champignons und Schinken",Pizza Spezial,Pizza
448769,Spaghetti Bolognese,mit Rinderhackfleischsauce,Spaghetti Bolognese,Pasta
380501,"Pizza mit Artischocken, Spinat und Brokkoli",,Pizza mit Artischocken,Pizza
650137,Pizza Primavera,"mit Putenbrust, Broccoli, Zwiebeln und Knoblauch",Pizza Primavera,Pizza
389864,Pizza Salami,mit Salami,Pizza Salami,Pizza
413466,Pasta Bolognese,mit Hackfleischsauce,Pasta Bolognese,Pasta
11541,Pizza Schinken & Champignons,mit Schinken und frischen Champignons,Pizza Prosciutto,Pizza
648643,Pizza Curry,"mit Hähnchenfleisch, Zwiebeln und Currysauce",Pizza Curry,Pizza
252964,Pizza Milano,"mit Spinat, Schafskäse, Artischocken und Knoblauch",Pizza Milano,Pizza
299490,Spaghetti Carbonara,"mit Sahne, Schinken und Ei",Spaghetti Carbonara,Pasta
566202,Pizza Capricciosa,"mit Tomaten, Käse, Schinken und Champignons",Pizza Capricciosa,Pizza
3904,Pizza Diavolo,mit Paprika und Tabasco,Pizza Diavolo,Pizza
287001,Pasta Gamba,"mit Spaghetti, Olivenöl, Garnelen, grünem Spargel, Kirschtomaten, Knoblauch, Rucola & Parmesan",Pasta Gamberetti,Pasta
406848,Pizza Curry,"mit exotischer Curry Sauce, zarter Hähnchenbrust, süßer Ananas & Gouda",Pizza Curry,Pizza
381634,Spaghetti Frutti di Mare,"mit Meeresfrüchten, Knoblauch, Zwiebeln und Tomatensauce",Spaghetti Frutti di Mare,Pasta
657686,Pizza Broccoli,mit Broccoli und Fetakäse,Pizza Broccoli,Pizza
581071,Pizza Salami,,Pizza Salami,Pizza
562741,Pizza Prosciutto,mit Schinken,Pizza Prosciutto,Pizza
356595,Pizza Salami,mit Salami,Pizza Salami,Pizza
239369,Spaghetti Mare e Monti,"mit Krabben, Pfifferlingen, Zwiebeln und Tomnatensahnesauce",Spaghetti Mare e Monti,Pasta
734636,Pizza Margherita,"mit Tomatensauce, Gouda und Oregano",Pizza Margherita,Pizza
221623,Pizzabrötchen Thunfisch (6 Stück),mit Käse und Thunfisch,Pizzabrötchen mit Thunfisch,Pizza
628318,Pizza Rustica,"mit Salami, Röstzwiebeln, pikante Sauce, Champignons und Bacon",Pizza Rustica,Pizza
421326,Tagliatelle  Carbonara,"mit Sahne, Vorderschinken und Ei",Spaghetti Carbonara,Pasta
344270,Pizza Salami,mit Salami,Pizza Salami,Pizza
262236,Pizza Quattro Stagioni,"mit Tomaten, Käse, Salami, Schinken, Pilzen, Artischocken und Oregano",Pizza Quattro Stagioni,Pizza
422843,Pizza Sardellen,"mit Sardellen, Oliven und Thunfisch",Pizza Sardellen,Pizza
719929,Pizza Prosciutto,mit saftigem Hinterschinken,Pizza Prosciutto,Pizza
400869,Pasta Napoli,mit Tomatensauce,Spaghetti Napoli,Pasta
746486,Spaghetti Broccoli,mit Hinterschinken und Sahnesauce,Spaghetti Broccoli,Pasta
609608,Pizza Spaghetti,mit Spaghetti und Fleischsauce,Pizza Spaghetti,Pizza
246748,Pizza Vier Jahreszeiten,"mit Salami, Schinken, Champignons, Paprika und Ei",Pizza Vier Jahreszeiten,Pizza
130504,Pizza Broccoli,"mit frischen Tomaten, Broccoli, Paprika, Champignons und Zwiebeln",Pizza Broccoli,Pizza
615600,Pizza Spezial,,Pizza Spezial,Pizza
732430,Pizza Alaska,mit Salami und Champignons,Pizza Alaska,Pizza
33774,Pizza Bologna,"Bolognese mit Zwiebeln, Paprika und Käse überbacken",Pizza Bologna,Pizza
687570,"Party Pizza, 60x60 cm mit 3 Zutaten",für 10 Personen,Partypizza,Pizza
220793,Pizza Quattro Stagioni,"Champignons, Schinken, Salami, Peperoni und Artischocken",Pizza Quattro Stagioni,Pizza
110695,"Salami, Champignon Pizza",,Pizza Salami Champignons,Pizza
284481,Pizza Pantelone Gyros,gefüllt mit Gyros und Zwiebeln,Pizza Gyros,Pizza
188621,Pizza Vegetarisch,"mit frischen Tomaten, Broccoli, Paprika und Erbsen",Pizza Vegetaria,Pizza
83739,Pizza Tonno,"mit Tomaten, Käse, Thunfisch",Pizza Tonno,Pizza
230302,Pasta Frutti di Mare,mit Meeresfrüchten,Pasta Frutti di Mare,Pasta
442953,Spaghetti al Pesto,mit Basilikum-Pesto-Sauce,Spaghetti al Pesto,Pasta
743403,Pizza Don Camillo,"mit Peperoni, Schinken, Spinat, Oliven und Knoblauch",Pizza Don Camillo,Pizza
448369,"Pizza Thunfisch, Peperoni","mit Thunfisch, Zwiebeln, Champignons, Peperoni und Oliven, Tomaten-Sauce und Käse",Pizza Tonno,Pizza
286547,Rigatoni mit Fleisch-Sahnesauce,,Rigatoni alla Panna,Pasta
239869,Pizza Margarita,mit Käse,Pizza Margherita,Pizza
195620,Spaghetti Chef,"mit Tomaten - Sahnesauce, frischen Pilzen, Putenbrust und Peperoni (mild oder scharf)",Spaghetti alle Chef,Pasta
216556,Pizza Gyros,"mit Gyros, Zwiebeln, Zaziki und frischen Tomaten",Pizza Gyros,Pizza
523404,Pizza Hawaii,mit Hinterschinken und Ananas,Pizza Hawaii,Pizza
175521,Pizza Shrimps,mit Zwiebeln und Knoblauch,Pizza Shrimps,Pizza
696738,Pizza Gorgonzola,,Pizza Gorgonzola,Pizza
177493,Gnocchi alla Panna,mit Schinken in Sahnesauce,Gnocchi alla Panna,Pasta
234151,Spaghetti in Tomatensauce,,Spaghetti al Pomodoro,Pasta
583367,Pizza Curry,"mit Hähnchenfilet, Ananas, Currysauce, Käse und Broccoli",Pizza Curry,Pizza
583884,Pizza Prosciutto,mit Vorderschinkenformfleisch,Pizza Prosciutto,Pizza
695538,Pizza mit Schinken,,Pizza Prosciutto,Pizza
549767,Pizzabrot,mit Tomatensauce und Knoblauch,Pizzabrot,Pizza
49950,Pizza Döner,"mit Creme Fraiche, frischen Tomatenscheiben, frischem Avanti-Käsemix, herzhaftem Dönerfleisch und Zwiebeln",Pizza Döner,Pizza
716956,Mini-Pizza Margherita,"mit Tomatensauce, frisch geriebenem Käse - einer Mischung aus frischem Gouda und Edamer",Pizza Margherita,Pizza
127694,Calzone mit Salami,"mit Schinken, Champignons und Ei",Pizza Calzone,Pizza
137073,Pizza Tonno,mit Thunfisch und Zwiebeln,Pizza Tonno,Pizza
423980,Spaghetti Bolognese,,Spaghetti Bolognese,Pasta
42103,Pizza Romanella,"mit Thunfisch, Schinken und Zwiebeln (auf Wunsch Knoblauch)",Pizza Roma,Pizza
156000,Tagliatelle Alla Chef,"mit Hähnchenfleisch, Broccoli und Tomaten-Sahnesauce",Tagliatelle alle Chef,Pasta
669875,Tortellini alla Spinaci,"mit Spinat, Schinken, Sahnesauce und 5 Brötchen",Tortellini Spinaci,Pasta
670622,Pizza Parma,"mit Parmaschinken, Rucola und Parmesanhaube",Pizza Prosciutto,Pizza
614199,Pizza Hawaii,mit Schinken und Ananas,Pizza Hawaii,Pizza
454691,Cheesy Pizza Salami,mit herzhafter Salami,Pizza Salami,Pizza
630471,Pizza Sucuk,"mit Tomatensauce, Knoblauchwurst und Käse",Pizza Sucuk,Pizza
173780,"Pizza mit Tomaten, Käse, Schinken und Pilzen",,Pizza Schinken Champignons,Pizza
9152,Gnocchi Gorgonzola,"mit Spinat, Gorgonzola, Sahnesauce und Käse überbacken",Gnocchi Gorgonzola,Pasta
666412,Pasta Spinaci,"mit Blattspinat, Gorgonzola und Tomaten-Sahnesauce",Pasta Spinaci,Pasta
506838,Pizza Shrimps,mit Shrimps,Pizza Shrimps,Pizza
683373,Pizza Enzo,"mit Schinken, Ananas und Thunfisch",Pizza Enzo,Pizza
220180,Minipizza Funghi,"mit Tomatensauce, Käse und Champignons",Pizza Funghi,Pizza
680142,Calzone Roma,"mit Salami, Schinken, Champignons, Thunfisch, Paprika und roten Zwiebeln",Pizza Calzone,Pizza
722153,Spaghetti Bolognese,mit Hackfleischsauce,Spaghetti Bolognese,Pasta
123652,Pizza Hackfleisch,mit Hackfleisch,Pizza Hackfleisch,Pizza
118635,Pizza Primavera,"mit Tomatensauce, Käse, Champignons und Ei",Pizza Primavera,Pizza
622535,Pizza Royal,"mit Spinat, Zwiebel, Knoblauch, Schafskäse und scharfer Peperoni",Pizza Royal,Pizza
206306,Pasta Chef,"mit Bolognesesauce, Sahne, Paprika, Pilzen und Spargel (scharf)",Pasta alla Chef,Pasta
534876,Pizza Mista,"mit Salami, Schinken, und Pilzen",Pizza Mista,Pizza
715427,Pizza o Sole Mio,"mit Zwiebeln, Ei, Spinat, Salami und Knoblauch",Pizza O Sole Mio,Pizza
235575,Pizza Sucuk,mit türkischer Knoblauchwurst,Pizza Sucuk,Pizza
369783,Pizza Prosciutto,mit Schinken,Pizza Prosciutto,Pizza
452534,Pizza Rucola,"mit würziger Pizzasauce, Rucola, Serrano Schinken, Kirschtomaten, Parmesan & Gouda",Pizza Rucola,Pizza
77950,Spaghetti Frutti di Mare,mit Meeresfrüchten,Spaghetti Frutti di Mare,Pasta
532472,Spaghetti Frutti di Mare,,Spaghetti Frutti di Mare,Pasta
475163,Pizzabrötchen mit Schinken,und Ananas,Pizzabrötchen mit Schinken,Pizza
368279,Pizza Artischocken,"mit Tomatensauce, Käse, Schinken, Artischocken, Zwiebeln und Oregano",Pizza Artischocken,Pizza
538164,Pizza Vesuvio,mit Zwiebel und Paprikaschoten,Pizza Vesuvio,Pizza
396424,Tris di Pasta,Nudel Blech mit 3 verschiedenen Nudelsorten,Tris di Pasta,Pasta
651157,Pizza Caprese,"mit Tomaten, Mozzarellascheiben und Basilikum",Pizza Caprese,Pizza
499290,Pizza Diavolo,"mit Schinken, Salami, Pilze, Paprika und Peperoni",Pizza Diavolo,Pizza
119459,Pizza Calzone,"gefüllte Pizza mit Champignons, , Schinken, Salami und Thunfisch",Pizza Calzone,Pizza
505800,Pizzabrot,,Pizzabrot,Pizza
479478,Spaghetti Aglio e Olio,"mit Knoblauch, Olivenöl, Peperoni und Paprika",Spaghetti Aglio e Olio,Pasta
155277,Gefülltes Pizzabrötchen mit Thunfisch,"und Käse, 8 Stück",Pizzabrötchen mit Thunfisch,Pizza
666201,Pizza Broccoli,mit frischem (gegrilltem) Broccoli,Pizza Broccoli,Pizza
107153,Spaghetti mit Scampi al olio,Peperoncino mit grünen Spargelspitzen und Kirschtomaten,Spaghetti Scampi,Pasta
623762,Pizza Hawaii,mit Ananas und Schinken,Pizza Hawaii,Pizza
511468,Pizza Sucuk,mit türkischer Knoblauchwurst,Pizza Sucuk,Pizza
450844,Tortellini alla Panna,mit Schinken und Sahnesauce,Tortellini alla Panna,Pasta
363196,Pasta Bolognese,mit Gehacktem und Tomatensauce,Spaghetti Bolognese,Pasta
675424,Pizza Vier Jahreszeiten,"mit Hinterschinken, frischen Champignons, Oliven und Artischocken",Pizza Vier Jahreszeiten,Pizza
315549,Pizza Roma,"mit Salami, frischer Paprika, Mais, Oliven, Peperoni und Thunfisch",Pizza Roma,Pizza
645637,Pizza Spaghetti,mit Hackfleischsauce,Pizza Spaghetti,Pizza
294533,Spaghetti Diavolo,"mit Fleisch- und Cherrytomaten, schwarzen Oliven und Sardellen",Spaghetti Diavolo,Pasta
512466,Pasta mit Scampi,Knoblauch und Jungzwiebeln,Pasta Scampi,Pasta
170759,Pizza Gorgonzola,mit Edelpilzkäse,Pizza Gorgonzola,Pizza
733735,Pizza Mozzarella,"mit Tomaten, Mozzarella und Basilikum",Pizza Mozzarella,Pizza
471669,Familienpizza Margherita,,Pizza Margherita,Pizza
687191,Pizza Miami,"Sahnesauce, Käse, Rindersteakspitzen, grüner Spargel und Champignons",Pizza Miami,Pizza
304662,Pizza Gamberetti,mit Krabben und Ei,Pizza Gamberetti,Pizza
548275,Spaghetti Carbonara,mit Schinken und Ei in Sahnesauce,Spaghetti Carbonara,Pasta
667206,Pizza Diavolo,"mit Schinken, Salami, Zwiebeln und pikanten Peperonis",Pizza Diavolo,Pizza
716444,Pizza Spaghetti,mit Spaghetti und Fleischsauce,Pizza Spaghetti,Pizza
705133,Pasta Vegetarisch,"mit Broccoli, Champignons, Paprika und Sahnesauce",Pasta Vegetaria,Pasta
217791,Tris di Pasta,drei verschiedene Nudelsorten,Tris di Pasta,Pasta
391524,Pizza Capricciosa,"mit Truthahnschinken, Champignons, Salami, Artischocken, Oliven und Peperoni",Pizza Capricciosa,Pizza
626254,Pizza Gorgonzola,"mit Tomaten, Käse, Gorgonzola und Schinken",Pizza Gorgonzola,Pizza
522959,Pizza Salame e Funghi,"mit Tomaten, Käse, Salami und frischen Champignons",Pizza Salami,Pizza
134649,Makkaroni Quattro Formaggi,mit vier Käsesorten,Maccheroni Quattro Formaggi,Pasta
419806,Pizza Texas,"mit BBQ-Sauce, Texas-Beef, Bacon, roten Zwiebeln und Mozzarella",Pizza Texas,Pizza
362346,Gnocchi mit Broccoli,in Tomaten-Sahnesauce,Gnocchi Broccoli,Pasta
237374,Pizza Salami & Schinken,mit Salami und Schinken,Pizza Salami,Pizza
248106,Pasta Räucherlachs,in Sahnesauce,Pasta Salmone,Pasta
629583,Pizza New York,"mit Rindersalami, Champignons, Peperoniwurst und Knoblauch",Pizza New York,Pizza
376926,Pizza Capricciosa,"mit Pilzen, Spargel, Paprika, Ei und Oliven",Pizza Capricciosa,Pizza
713763,Pizza Rimini,"mit Paprika, Champignons und Salami",Pizza Rimini,Pizza
577200,Pizza Capricciosa,"mit Schinken, Champignons, Paprika, Salami und Peperoni",Pizza Capricciosa,Pizza
630138,Pizza Italia,"mit Thunfisch, Salami, Oliven und Zwiebel",Pizza Italia,Pizza
160399,Pizza California,mit Putenbrust und Ananas,Pizza California,Pizza
28701,Pizza Calzone,Pizzatasche,Pizza Calzone,Pizza
